DD:MM:YYYY,hh:mm:ss,°C,°C,n/a,n/a
Date,Time,Zone:0.valueAirSensor,Zone:1.valueAirSensor,Zone:0.stateDoor,Zone:0.valueLightDimLevel
11.03.2020,11:05:04,5,-10,1,100
11.03.2020,11:05:04,5,-10,1,100
11.03.2020,11:05:05,4.9,-10,1,100
11.03.2020,11:05:07,5,-10,1,100
11.03.2020,11:07:36,4.9,-10,1,100
11.03.2020,11:07:37,4.9,-10,1,100
11.03.2020,11:07:39,4.9,-10,1,100
11.03.2020,11:07:40,4.9,-10,0,0
11.03.2020,11:07:42,5,-10,0,0
11.03.2020,11:07:43,4.9,-10,0,0
11.03.2020,11:07:44,5,-10,0,0
11.03.2020,11:07:46,4.9,-10,0,0
11.03.2020,11:07:47,4.9,-10,0,0
11.03.2020,11:07:48,4.9,-10,0,0
11.03.2020,11:07:50,5,-10,0,0
11.03.2020,11:07:51,4.9,-10,0,0
11.03.2020,11:07:52,5,-10,0,0
11.03.2020,11:07:54,5,-10,0,0
11.03.2020,11:07:55,4.9,-10,0,0
11.03.2020,11:07:57,4.9,-10,0,0
11.03.2020,11:07:58,4.9,-10,0,0
11.03.2020,11:07:59,4.9,-10,0,0
11.03.2020,11:08:01,4.9,-10,1,100
11.03.2020,11:08:02,5,-10,1,100
11.03.2020,11:08:03,4.9,-10,1,100
11.03.2020,11:08:05,4.9,-10,1,100
11.03.2020,11:08:06,5,-10,1,100
11.03.2020,11:08:08,4.9,-10,1,100
11.03.2020,11:08:09,4.9,-10,1,100
11.03.2020,11:08:10,4.9,-10,0,0
11.03.2020,11:08:12,4.9,-10,0,0
11.03.2020,11:08:13,4.9,-10,0,0
11.03.2020,11:08:15,4.9,-10,0,0
11.03.2020,11:08:16,4.9,-10,0,0
11.03.2020,11:08:17,5,-10,0,0
11.03.2020,11:08:19,4.9,-10.1,0,0
11.03.2020,11:08:20,5,-10,0,0
11.03.2020,11:08:21,5,-10,0,0
11.03.2020,11:08:23,4.9,-10.1,0,0
11.03.2020,11:08:24,4.9,-10,0,0
11.03.2020,11:08:25,4.9,-10,0,0
11.03.2020,11:08:27,4.9,-10,0,0
11.03.2020,11:08:28,4.9,-10,0,0
11.03.2020,11:08:30,4.9,-10,0,0
11.03.2020,11:08:31,4.9,-10,0,0
11.03.2020,11:08:32,4.9,-10,0,0
11.03.2020,11:08:34,4.9,-10,0,0
11.03.2020,11:08:35,4.9,-10,0,0
11.03.2020,11:08:36,4.9,-10,0,0
11.03.2020,11:08:38,4.9,-10,0,0
11.03.2020,11:08:39,4.9,-10,0,0
11.03.2020,11:08:41,4.9,-10,0,0
11.03.2020,11:08:42,4.9,-10,0,0
11.03.2020,11:08:43,4.9,-10,0,0
11.03.2020,11:08:45,4.9,-10,0,0
11.03.2020,11:08:46,4.9,-10,0,0
11.03.2020,11:08:47,4.9,-10,0,0
11.03.2020,11:08:49,4.9,-10,0,0
11.03.2020,11:08:50,5,-10,0,0
11.03.2020,11:08:52,4.9,-10,0,0
11.03.2020,11:08:53,4.9,-10,0,0
11.03.2020,11:08:54,4.9,-10,0,0
11.03.2020,11:08:56,4.9,-10,0,0
11.03.2020,11:08:57,4.9,-10,0,0
11.03.2020,11:08:58,5,-10,0,0
11.03.2020,11:09:00,4.9,-10,0,0
11.03.2020,11:09:01,4.9,-10,1,100
11.03.2020,11:09:03,4.9,-10,1,100
11.03.2020,11:09:04,5,-10,1,100
11.03.2020,11:09:05,4.9,-10.1,1,100
11.03.2020,11:09:07,5,-10.1,0,0
11.03.2020,11:09:08,4.9,-10,0,0
11.03.2020,11:09:09,4.9,-10,0,0
11.03.2020,11:09:11,5,-10.1,0,0
11.03.2020,11:09:12,4.9,-10,0,0
11.03.2020,11:09:14,5,-10,0,0
11.03.2020,11:09:15,4.9,-10,0,0
11.03.2020,11:09:16,4.9,-10,0,0
11.03.2020,11:09:18,4.9,-10,0,0
11.03.2020,11:09:19,4.9,-10,0,0
11.03.2020,11:09:20,4.9,-10,0,0
11.03.2020,11:09:22,4.9,-10,0,0
11.03.2020,11:09:23,5,-10,0,0
11.03.2020,11:09:24,4.9,-10,0,0
11.03.2020,11:09:26,4.9,-10.1,0,0
11.03.2020,11:09:27,4.9,-10,0,0
11.03.2020,11:09:29,4.9,-10,0,0
11.03.2020,11:09:30,4.9,-10,0,0
11.03.2020,11:09:31,4.9,-10,0,0
11.03.2020,11:09:33,4.9,-10.1,0,0
11.03.2020,11:09:34,4.9,-10,0,0
11.03.2020,11:09:35,4.9,-10,0,0
11.03.2020,11:09:37,4.9,-10,0,0
11.03.2020,11:09:38,4.9,-10,0,0
11.03.2020,11:09:40,5,-10.1,0,0
11.03.2020,11:09:41,4.9,-10,0,0
11.03.2020,11:09:42,5,-10,0,0
11.03.2020,11:09:44,4.9,-10,0,0
11.03.2020,11:09:45,4.9,-10,0,0
11.03.2020,11:09:46,4.9,-10,0,0
11.03.2020,11:09:48,4.9,-10,0,0
11.03.2020,11:09:49,4.9,-10,0,0
11.03.2020,11:09:51,4.9,-10,0,0
11.03.2020,11:09:52,4.9,-10.1,0,0
11.03.2020,11:09:53,5,-10,0,0
11.03.2020,11:09:55,5,-10,0,0
11.03.2020,11:09:56,4.9,-10,0,0
11.03.2020,11:09:57,5,-10,0,0
11.03.2020,11:09:59,4.9,-10,0,0
11.03.2020,11:10:00,5,-10.1,0,0
11.03.2020,11:10:01,4.9,-10,1,100
11.03.2020,11:10:03,5,-10,1,100
11.03.2020,11:10:04,4.9,-10,1,100
11.03.2020,11:10:06,4.9,-10.1,1,100
11.03.2020,11:10:07,4.9,-10,1,100
11.03.2020,11:10:08,4.9,-10,1,100
11.03.2020,11:10:10,4.9,-10,0,0
11.03.2020,11:10:11,4.9,-10,0,0
11.03.2020,11:10:13,5,-10,0,0
11.03.2020,11:10:14,4.9,-10,0,0
11.03.2020,11:10:15,5,-10,0,0
11.03.2020,11:10:17,5,-10,0,0
11.03.2020,11:10:18,4.9,-10,0,0
11.03.2020,11:10:19,4.9,-10,0,0
11.03.2020,11:10:21,4.9,-10,0,0
11.03.2020,11:10:22,4.9,-10,0,0
11.03.2020,11:10:24,4.9,-10,0,0
11.03.2020,11:10:25,4.9,-10,0,0
11.03.2020,11:10:26,4.9,-10,0,0
11.03.2020,11:10:28,4.9,-10,0,0
11.03.2020,11:10:29,5,-10,0,0
11.03.2020,11:10:30,5,-10,0,0
11.03.2020,11:10:32,4.9,-10,0,0
11.03.2020,11:10:33,4.9,-10,0,0
11.03.2020,11:10:34,4.9,-10,0,0
11.03.2020,11:10:36,4.9,-10,0,0
11.03.2020,11:10:37,5,-10,0,0
11.03.2020,11:10:39,4.9,-10,0,0
11.03.2020,11:10:40,4.9,-10,0,0
11.03.2020,11:10:41,5,-10,0,0
11.03.2020,11:10:43,4.9,-10,0,0
11.03.2020,11:10:44,4.9,-10,0,0
11.03.2020,11:10:45,4.9,-10,0,0
11.03.2020,11:10:47,4.9,-10,0,0
11.03.2020,11:10:48,4.9,-10,0,0
11.03.2020,11:10:50,4.9,-10,0,0
11.03.2020,11:10:51,4.9,-10,0,0
11.03.2020,11:10:52,5,-10,0,0
11.03.2020,11:10:54,4.9,-10,0,0
11.03.2020,11:10:55,4.9,-10,0,0
11.03.2020,11:10:56,4.9,-10,0,0
11.03.2020,11:10:58,5,-10,0,0
11.03.2020,11:10:59,4.9,-10,0,0
11.03.2020,11:11:01,4.9,-10,0,0
11.03.2020,11:11:02,4.9,-10,1,100
11.03.2020,11:11:03,4.9,-10,1,100
11.03.2020,11:11:05,4.9,-10,1,100
11.03.2020,11:11:06,4.9,-10.1,1,100
11.03.2020,11:11:07,4.9,-10,1,100
11.03.2020,11:11:09,4.9,-10,1,100
11.03.2020,11:11:10,5,-10,1,100
11.03.2020,11:11:11,4.9,-10,1,100
11.03.2020,11:11:13,4.9,-10,1,100
11.03.2020,11:11:14,4.9,-10,1,100
11.03.2020,11:11:16,4.9,-10.1,1,100
11.03.2020,11:11:17,4.9,-10,1,100
11.03.2020,11:11:18,4.9,-10.1,1,100
11.03.2020,11:11:20,4.9,-10,0,0
11.03.2020,11:11:21,4.9,-10,0,0
11.03.2020,11:11:22,4.9,-10,0,0
11.03.2020,11:11:24,5,-10,0,0
11.03.2020,11:11:25,4.9,-10,0,0
11.03.2020,11:11:27,4.9,-10,0,0
11.03.2020,11:11:28,4.9,-10,0,0
11.03.2020,11:11:29,4.9,-10,0,0
11.03.2020,11:11:31,4.9,-10,0,0
11.03.2020,11:11:32,4.9,-10,0,0
11.03.2020,11:11:34,5,-10.1,0,0
11.03.2020,11:11:35,4.9,-10,0,0
11.03.2020,11:11:36,4.9,-10,0,0
11.03.2020,11:11:38,4.9,-10,0,0
11.03.2020,11:11:39,4.9,-10,0,0
11.03.2020,11:11:40,4.9,-10,0,0
11.03.2020,11:11:42,4.9,-10,0,0
11.03.2020,11:11:43,4.9,-10,0,0
11.03.2020,11:11:44,4.9,-10,0,0
11.03.2020,11:11:46,4.9,-10,0,0
11.03.2020,11:11:47,4.9,-10,0,0
11.03.2020,11:11:49,5,-10,0,0
11.03.2020,11:11:50,4.9,-10,0,0
11.03.2020,11:11:51,4.9,-10,0,0
11.03.2020,11:11:53,4.9,-10,0,0
11.03.2020,11:11:54,4.9,-10,0,0
11.03.2020,11:11:55,4.9,-10,0,0
11.03.2020,11:11:57,4.9,-10,0,0
11.03.2020,11:11:58,4.9,-10,0,0
11.03.2020,11:11:59,4.9,-10,0,0
11.03.2020,11:12:01,4.9,-10,0,0
11.03.2020,11:12:02,4.9,-10,1,100
11.03.2020,11:12:04,5,-10,1,100
11.03.2020,11:12:05,4.9,-10,1,100
11.03.2020,11:12:06,4.9,-10,1,100
11.03.2020,11:12:08,4.9,-10,1,100
11.03.2020,11:12:09,5,-10,1,100
11.03.2020,11:12:10,4.9,-10,1,100
11.03.2020,11:12:12,4.9,-10,1,100
11.03.2020,11:12:13,4.9,-10,1,100
11.03.2020,11:12:15,4.9,-10,1,100
11.03.2020,11:12:16,4.9,-10,1,100
11.03.2020,11:12:17,4.9,-10,1,100
11.03.2020,11:12:19,4.9,-10.1,1,100
11.03.2020,11:12:20,5,-10,1,100
11.03.2020,11:12:22,4.9,-10,1,100
11.03.2020,11:12:23,4.9,-10,1,100
11.03.2020,11:12:24,4.9,-10,1,100
11.03.2020,11:12:26,5,-10,1,100
11.03.2020,11:12:27,4.9,-10,1,100
11.03.2020,11:12:28,4.9,-10,1,100
11.03.2020,11:12:30,4.9,-10,1,100
11.03.2020,11:12:31,4.9,-10,1,100
11.03.2020,11:12:32,4.9,-10,1,100
11.03.2020,11:12:34,5,-10,1,100
11.03.2020,11:12:35,4.9,-10,1,100
11.03.2020,11:12:37,4.9,-10,1,100
11.03.2020,11:12:38,4.9,-10,1,100
11.03.2020,11:12:39,4.9,-10,1,100
11.03.2020,11:12:41,4.9,-10,1,100
11.03.2020,11:12:42,5,-10,0,0
11.03.2020,11:12:43,5,-10,0,0
11.03.2020,11:12:45,4.9,-10,0,0
11.03.2020,11:12:46,4.9,-10,0,0
11.03.2020,11:12:48,4.9,-10,0,0
11.03.2020,11:12:49,5,-10,0,0
11.03.2020,11:12:50,4.9,-10,0,0
11.03.2020,11:12:52,4.9,-10,0,0
11.03.2020,11:12:53,4.9,-10,0,0
11.03.2020,11:12:55,4.9,-10,0,0
11.03.2020,11:12:56,4.9,-10,0,0
11.03.2020,11:12:57,5,-10,0,0
11.03.2020,11:12:59,4.9,-10,0,0
11.03.2020,11:13:00,4.9,-10,0,0
11.03.2020,11:13:01,4.9,-10,1,100
11.03.2020,11:13:03,5,-10,1,100
11.03.2020,11:13:04,5,-10,1,100
11.03.2020,11:13:05,5,-10,1,100
11.03.2020,11:13:07,4.9,-10,1,100
11.03.2020,11:13:08,4.9,-10,1,100
11.03.2020,11:13:10,5,-10,1,100
11.03.2020,11:13:11,4.9,-10,1,100
11.03.2020,11:13:12,5,-10,1,100
11.03.2020,11:13:14,5,-10,1,100
11.03.2020,11:13:15,5,-10,0,0
11.03.2020,11:13:16,5,-10,0,0
11.03.2020,11:13:18,4.9,-10,0,0
11.03.2020,11:13:19,4.9,-10,0,0
11.03.2020,11:13:21,5,-10,0,0
11.03.2020,11:13:22,4.9,-10,0,0
11.03.2020,11:13:23,5,-10,0,0
11.03.2020,11:13:25,4.9,-10,0,0
11.03.2020,11:13:26,4.9,-10,0,0
11.03.2020,11:13:27,4.9,-10.1,0,0
11.03.2020,11:13:29,4.9,-10,0,0
11.03.2020,11:13:30,4.9,-10,0,0
11.03.2020,11:13:32,5,-10,0,0
11.03.2020,11:13:33,4.9,-10,0,0
11.03.2020,11:13:34,4.9,-10,0,0
11.03.2020,11:13:36,4.9,-10,0,0
11.03.2020,11:13:37,5,-10,0,0
11.03.2020,11:13:38,4.9,-10,0,0
11.03.2020,11:13:40,4.9,-10,0,0
11.03.2020,11:13:41,4.9,-10,0,0
11.03.2020,11:13:42,4.9,-10,0,0
11.03.2020,11:13:44,4.9,-10.1,0,0
11.03.2020,11:13:45,4.9,-10,0,0
11.03.2020,11:13:47,4.9,-10,0,0
11.03.2020,11:13:48,4.9,-10,0,0
11.03.2020,11:13:49,4.9,-10,0,0
11.03.2020,11:13:51,4.9,-10,0,0
11.03.2020,11:13:52,5,-10,0,0
11.03.2020,11:13:53,4.9,-10,0,0
11.03.2020,11:13:55,4.9,-10,0,0
11.03.2020,11:13:56,5,-10,0,0
11.03.2020,11:13:57,5,-10,0,0
11.03.2020,11:13:59,4.9,-10,0,0
11.03.2020,11:14:00,4.9,-10,0,0
11.03.2020,11:14:02,5,-10,1,100
11.03.2020,11:14:03,4.9,-10,1,100
11.03.2020,11:14:04,4.9,-10,1,100
11.03.2020,11:14:06,4.9,-10,1,100
11.03.2020,11:14:07,5,-10,1,100
11.03.2020,11:14:08,5,-10,1,100
11.03.2020,11:14:10,4.9,-10,1,100
11.03.2020,11:14:11,5,-10,1,100
11.03.2020,11:14:12,4.9,-10,1,100
11.03.2020,11:14:14,4.9,-10,1,100
11.03.2020,11:14:15,4.9,-10,1,100
11.03.2020,11:14:17,4.9,-10,1,100
11.03.2020,11:14:18,5,-10,1,100
11.03.2020,11:14:19,4.9,-10,1,100
11.03.2020,11:14:21,4.9,-10,1,100
11.03.2020,11:14:22,5,-10,1,100
11.03.2020,11:14:23,5,-10,0,0
11.03.2020,11:14:25,4.9,-10,0,0
11.03.2020,11:14:26,4.9,-10,0,0
11.03.2020,11:14:28,4.9,-10,0,0
11.03.2020,11:14:29,5,-10,0,0
11.03.2020,11:14:30,4.9,-10,0,0
11.03.2020,11:14:32,4.9,-10,0,0
11.03.2020,11:14:33,4.9,-10,0,0
11.03.2020,11:14:34,4.9,-10,0,0
11.03.2020,11:14:36,5,-10.1,0,0
11.03.2020,11:14:37,4.9,-10,0,0
11.03.2020,11:14:39,4.9,-10,0,0
11.03.2020,11:14:40,4.9,-10,0,0
11.03.2020,11:14:41,4.9,-10,0,0
11.03.2020,11:14:43,4.9,-10,0,0
11.03.2020,11:14:44,4.9,-10,0,0
11.03.2020,11:14:45,4.9,-10,0,0
11.03.2020,11:14:47,4.9,-10.1,0,0
11.03.2020,11:14:48,4.9,-10,0,0
11.03.2020,11:14:50,4.9,-10,0,0
11.03.2020,11:14:51,4.9,-10,0,0
11.03.2020,11:14:52,4.9,-10,0,0
11.03.2020,11:14:54,5,-10,0,0
11.03.2020,11:14:55,5,-10,0,0
11.03.2020,11:14:56,4.9,-10,0,0
11.03.2020,11:14:58,4.9,-10,0,0
11.03.2020,11:14:59,4.9,-10,0,0
11.03.2020,11:15:01,4.9,-10,0,0
11.03.2020,11:15:02,5,-10.1,1,100
11.03.2020,11:15:03,4.9,-10,1,100
11.03.2020,11:15:05,4.9,-10,1,100
11.03.2020,11:15:06,4.9,-10,1,100
11.03.2020,11:15:08,4.9,-10.1,1,100
11.03.2020,11:15:09,4.9,-10.1,1,100
11.03.2020,11:15:10,5,-10,1,100
11.03.2020,11:15:12,4.9,-10,1,100
11.03.2020,11:15:13,4.9,-10,1,100
11.03.2020,11:15:14,5,-10,1,100
11.03.2020,11:15:16,4.9,-10,1,100
11.03.2020,11:15:17,4.9,-10,1,100
11.03.2020,11:15:18,4.9,-10,1,100
11.03.2020,11:15:20,4.9,-10,1,100
11.03.2020,11:15:21,5,-10,1,100
11.03.2020,11:15:23,4.9,-10,1,100
11.03.2020,11:15:24,4.9,-10,1,100
11.03.2020,11:15:25,4.9,-10,1,100
11.03.2020,11:15:27,5,-10.1,1,100
11.03.2020,11:15:28,4.9,-10,1,100
11.03.2020,11:15:29,4.9,-10,1,100
11.03.2020,11:15:31,4.9,-10,1,100
11.03.2020,11:15:32,4.9,-10,1,100
11.03.2020,11:15:33,5,-10,1,100
11.03.2020,11:15:35,4.9,-10,1,100
11.03.2020,11:15:36,4.9,-10.1,1,100
11.03.2020,11:15:38,5,-10,1,100
11.03.2020,11:15:39,4.9,-10,1,100
11.03.2020,11:15:40,4.9,-10,1,100
11.03.2020,11:15:42,4.9,-10.1,1,100
11.03.2020,11:15:43,4.9,-10,1,100
11.03.2020,11:15:44,4.9,-10,1,100
11.03.2020,11:15:46,4.9,-10,1,100
11.03.2020,11:15:47,4.9,-10.1,1,100
11.03.2020,11:15:49,4.9,-10,1,100
11.03.2020,11:15:50,5,-10,1,100
11.03.2020,11:15:51,5,-10,1,100
11.03.2020,11:15:53,4.9,-10,1,100
11.03.2020,11:15:54,4.9,-10,1,100
11.03.2020,11:15:56,5,-10,1,100
11.03.2020,11:15:57,4.9,-10,1,100
11.03.2020,11:15:58,4.9,-10,1,100
11.03.2020,11:16:00,4.9,-10,1,100
11.03.2020,11:16:01,4.9,-10,1,100
11.03.2020,11:16:02,4.9,-10,1,100
11.03.2020,11:16:04,4.9,-10,1,100
11.03.2020,11:16:05,4.9,-10,1,100
11.03.2020,11:16:07,4.9,-10.1,1,100
11.03.2020,11:16:08,5,-10,1,100
11.03.2020,11:16:09,4.9,-10,1,100
11.03.2020,11:16:11,5,-10,1,100
11.03.2020,11:16:12,4.9,-10,1,100
11.03.2020,11:16:14,4.9,-10,1,100
11.03.2020,11:16:15,5,-10,1,100
11.03.2020,11:16:16,4.9,-10,1,100
11.03.2020,11:16:18,4.9,-10,1,100
11.03.2020,11:16:19,4.9,-10,1,100
11.03.2020,11:16:20,4.9,-10,1,100
11.03.2020,11:16:22,4.9,-10.1,1,100
11.03.2020,11:16:23,4.9,-10.1,1,100
